Headshots,Penta Kills,Deaths,MVPs,Assists,Triple Kills,Quadro Kills,Kills,Rounds Won,Rounds Played,Games Won,Games Played,username
320,2,834,187,237,86,23,1243,680,1297,26,47,BeanBurrito
9,323,51,805,0,203,138,855,545,1103,19,40,Tylenol553
0,91,423,18,113,0,58,323,293,576,12,21,PENTAKIM
2,129,118,0,0,17,38,29,83,177,3,7,Yerpyoz
4,39,124,76,1,387,363,12,250,542,7,20,neetsk
69,2,857,138,12,440,1060,184,663,1270,27,46,vqle
37,622,0,3,246,694,155,91,470,925,17,32,lmao--zedong
849,317,201,54,116,6,1,845,560,1096,20,40,JBL725
0,15,6,30,102,92,12,0,96,158,5,6,GamerDog111
74,747,23,3,181,0,618,208,489,985,17,35,dogbrainXD
0,76,6,1,72,12,18,17,58,108,3,4,teebs_
72,1,5,1,14,0,16,0,29,77,0,3,llamaru
21,6,3,4,0,14,0,1,16,24,1,1,Ob3ron
6,1,1,2,0,0,23,0,8,24,0,1,HumChip
200,225,23,6,44,0,2,74,160,311,6,10,Sambo412
291,188,0,2,58,5,25,71,194,383,8,15,BigKlunk146
64,146,0,50,19,241,6,2,116,281,4,12,DuckWings
1,139,36,21,110,1,29,6,99,194,5,8,RPerry
2,174,734,109,284,54,657,9,456,884,19,31,izmattk
29,0,0,3,28,3,12,2,19,43,1,2,360moneymake
55,7,0,19,0,1,7,0,14,62,0,3,Consolo28
13,3,20,0,73,22,2,51,56,86,3,4,Aba123
24,127,52,6,1,110,0,13,60,159,1,7,RickieC
0,8,16,50,0,1,37,24,48,62,3,3,lateNUGGETS
2,0,6,77,0,35,1,16,46,102,1,4,starwarsgeek
3,0,37,243,105,11,59,335,230,433,12,16,PehPehYe
16,0,104,0,168,34,36,3,94,220,1,8,ChimpSZN
35,200,138,41,13,0,1,4,125,265,2,8,DanKolan
46,18,3,0,66,6,0,15,36,84,0,3,Celes_Chorda
268,2,20,63,224,106,35,0,162,310,7,11,Kev_123
12,0,0,4,10,69,1,33,42,86,1,3,yomada99
4,21,0,6,7,0,52,38,20,52,0,2,bleans
90,17,56,5,0,446,185,440,309,624,8,21,han
9,24,1,0,0,8,0,3,12,28,0,1,silverword
22,112,1,14,40,1,35,145,66,142,2,5,stunbystun
93,187,83,572,465,39,1,8,336,683,13,23,SnakeG9
53,0,0,5,3,5,54,26,36,72,1,2,BlauFalke
0,50,26,0,9,3,0,5,29,67,0,2,VeNoMxI3lood
22,14,0,42,9,0,0,3,33,60,1,2,HockeyGuy69
2,0,22,0,12,7,8,44,24,56,0,2,PeeLace
8,2,0,22,0,0,2,2,10,26,0,1,Naginata
2,0,1,8,34,71,23,118,68,141,2,5,Arcus144
0,21,18,1,1,4,0,1,8,24,0,1,WeTuLo
5,1,37,6,0,38,1,18,31,59,1,1,eelo__
